4389902|living_street|Kooperatīva iela||N|2|2002|3059|1|2|1|/501855.86|313002.01|501855.54|312990.31|501854.65|312969.90|501851.81|312913.01|501851.68|312907.49|501850.20|312845.27|501843.01|312677.42|501842.79|312672.37|501842.66|312669.26|/
4389903|tertiary|Bebru iela|30|N|2|2002|3059|1|2|1|/501986.44|312649.43|501943.36|312650.09|501906.78|312650.65|501841.81|312651.26|501835.32|312651.33|501785.45|312651.88|501780.80|312651.93|501764.74|312652.10|501747.95|312652.29|501741.80|312652.35|501724.25|312652.54|501719.70|312652.60|501703.86|312652.77|501700.39|312652.81|501678.69|312654.15|501646.86|312654.44|501637.82|312654.79|/
4389904|tertiary|Anniņmuižas bulvāris|50|Y|2|2002|3059|1|2|1|/500537.55|312317.37|500537.37|312331.39|500537.33|312369.33|500535.87|312514.29|500535.79|312522.52|500535.64|312545.45|500535.99|312560.82|500536.98|312576.83|500538.96|312593.38|500540.99|312609.13|500544.51|312628.01|500548.41|312644.57|500552.66|312659.85|500555.29|312668.37|500556.41|312671.97|/
4389978|residential|Tapešu iela||N||2002|3059|1|2|1|/503150.53|310959.37|503129.28|311006.19|503116.72|311034.28|503093.63|311086.06|503091.65|311090.26|503072.32|311132.39|503017.05|311253.18|503015.07|311257.67|/
4392795|residential|Ernestīnes iela|30|N|2|2002|3059|1|2|1|/503552.74|310548.32|503557.66|310549.20|503560.73|310549.46|503564.53|310550.09|503571.11|310550.58|503692.91|310564.09|503769.72|310572.61|503774.67|310573.00|503779.35|310573.67|503783.53|310574.64|503802.21|310585.51|503823.49|310597.51|503836.77|310605.05|503843.67|310608.94|503867.68|310622.54|503900.04|310641.00|503908.82|310646.01|503952.96|310671.26|503954.21|310671.99|503957.99|310674.17|504043.44|310723.45|/
4392796|residential|Kapseļu iela|30|Y|2|2002|3059|1|2|1|/504325.53|311042.43|504336.10|311051.45|504344.87|311058.93|504390.92|311099.14|504406.96|311112.92|504418.94|311123.29|504462.12|311164.80|/
4392838|tertiary|Mārupes iela|50|N|2|2002|3059|1|2|1|/504638.02|309447.97|504609.17|309491.27|504606.39|309495.23|504584.16|309526.80|504578.40|309535.38|504532.97|309603.77|504503.67|309646.75|504492.86|309662.62|504485.96|309672.74|504480.85|309680.22|504468.97|309697.65|504466.47|309701.31|504444.86|309734.60|504395.20|309829.85|504390.59|309838.93|/
4392894|tertiary|Bāriņu iela|50|Y|2|2002|3059|1|2|1|/505317.85|310474.88|504994.59|310391.76|504912.91|310370.76|504888.89|310364.91|504876.54|310361.41|504870.52|310360.02|504861.82|310357.71|504848.88|310355.23|504844.45|310354.38|504831.78|310353.32|504821.13|310352.47|/
4392896|tertiary|Ojāra Vācieša iela||N|2|2002|3059|1|2|1|/504810.36|309245.06|504816.15|309249.04|504818.43|309250.63|504832.72|309260.47|504850.99|309274.30|/
4394226|residential|Augšiela|30|N|2|2002|3059|1|2|1|/509490.04|312182.83|509489.65|312205.26|509485.88|312234.48|509481.28|312268.25|509480.61|312273.18|509475.55|312310.43|509474.26|312320.02|509473.05|312328.98|509465.94|312381.74|509463.49|312399.92|509461.98|312411.15|/
4394227|residential|Jāņa Asara iela|30|N|2|2002|3059|1|2|1|/509438.85|312572.15|509453.21|312574.07|509459.92|312575.03|509502.69|312581.21|509532.79|312585.45|509569.87|312590.25|509583.86|312592.04|/
